beta_0,beta_1,beta_2,beta_3,tau1,tau2
4.145075741262394,0.4616857373767789,1.8103934630134233,3.834894976248244,0.6041236743955456,12.546817714996887
3.188474370172496,1.5574073593602462,2.1120885389876576,6.5526025494311755,1.161740718682527,13.38328086355135
4.203510705350675,0.46385010333906534,1.50687082923495,3.702426676056562,0.6041236743955456,12.546817714996887
4.157835940397348,0.5137675249823422,1.5135674399225798,3.515888770711878,0.6041236743955456,12.546817714996887
4.190220618507345,0.4680527848756811,1.5826142688872482,3.2607766173815933,0.6041236743955456,12.546817714996887
4.073913932762903,0.5723170664725622,1.7947990236175082,3.6185993046717355,0.6041236743955456,12.546817714996887
4.187172813187604,0.4744264470272145,1.6414854309586868,3.338403240266033,0.6041236743955456,12.546817714996887
4.102025292669364,0.5467407951318445,1.6817111202946584,3.5118000089603667,0.6041236743955456,12.546817714996887
4.149552178770308,0.488194991142063,1.7278159240134663,3.4801756938425163,0.6041236743955456,12.546817714996887
4.0593052828723915,0.5938155777431863,1.8210768551953398,3.746034581421904,0.6041236743955456,12.546817714996887
4.154756357762373,0.5045404169885525,1.7471365907981058,3.5312409083460614,0.6041236743955456,12.546817714996887
4.208858728470618,0.4358738245902571,1.861930038716918,3.4223012970060664,0.6041236743955456,12.546817714996887
4.23989479055938,0.397593156422853,1.7726631921434084,3.286435917506655,0.6041236743955456,12.546817714996887
4.023037606868635,0.6229182219308451,1.8259682733298714,3.6562399523672,0.6041236743955456,12.546817714996887
4.17079272608207,0.49951028595681124,1.7429453490574165,3.1771151321503175,0.6041236743955456,12.546817714996887
4.216505891322758,0.48355003297613713,1.6605749510879182,2.959826621011562,0.6041236743955456,12.546817714996887
3.0909245902837306,1.6823865267090679,2.468520066333539,6.367787513027785,1.161740718682527,13.38328086355135
4.231383222143613,0.44951670814843747,1.740777448752926,2.840342553536141,0.6041236743955456,12.546817714996887
4.1533325197073365,0.5260340851278196,1.8618607238550586,2.988579537128485,0.6041236743955456,11.710380809514243
4.040138954722501,0.6431497318148651,2.1611633107730177,3.3614422081076785,0.6041236743955456,11.710380809514243
3.9553543666730464,0.6509218088965681,2.4266463714834257,3.560068460441514,0.6041236743955456,11.710380809514243
4.093485826225843,0.464961428233318,2.5255887893749436,3.3694463687274667,0.6041236743955456,11.710380809514243
4.153580667178194,0.3145812377155436,2.60901109869726,3.31615043865587,0.6041236743955456,11.710380809514243
4.130001969673108,0.36568409503022525,2.674656643856659,3.5148830301643574,0.6041236743955456,11.710380809514243
4.11059185350734,0.4246947618106247,2.7982583109971504,3.607648113431771,0.6041236743955456,11.710380809514243
4.182179033499119,0.3797566963186955,2.6252931693044785,3.410805008894048,0.6041236743955456,11.710380809514243
4.200792778843211,0.3290458984540024,2.6535942061984135,3.3427689101294358,0.6041236743955456,11.710380809514243
5.442142676069791,-0.7774988461910594,-1.7556570283276511,-0.8077981244156034,0.04645195108608021,4.18226885942434
5.464216183549802,-0.8693855328408614,-1.4857260305458804,-0.7847005071825732,0.04645195108608021,4.18226885942434
4.232717520501472,0.3805699887461885,2.7262526036654657,3.553339198890109,0.6041236743955456,11.710380809514243
4.349053747653025,0.40207464102912976,2.2402684568955342,3.044957139433135,0.6041236743955456,11.710380809514243
4.361148865678784,0.2991712034322953,2.4512758441231854,3.126745306596622,0.6041236743955456,11.710380809514243
5.446038577518725,-0.8552265836314852,-1.203410687062258,-0.8418769757954639,0.04645195108608021,3.3458194566873765
5.380169910370504,-2.086072317405633,0.4650441661641792,-0.8600514048907402,0.04645195108608021,3.3458194566873765
5.415958169510971,-1.880542469202114,0.5311944277599164,-0.9716719297320008,0.04645195108608021,3.3458194566873765
4.220069723110017,0.4609335227580383,2.5478096643496726,3.526973297696594,0.6041236743955456,11.710380809514243
4.14743743268344,0.5199847443477672,2.639586524806762,3.6292973679250617,0.6041236743955456,11.710380809514243
4.136210759194535,0.5782536114447546,2.4748771795486766,3.482955317159437,0.6041236743955456,11.710380809514243
4.086982038148513,0.6632131259649556,2.5613997950155496,3.622425692178509,0.6041236743955456,11.710380809514243
4.130911014662928,0.6521679986885351,2.40401210408988,3.373239917236043,0.6041236743955456,11.710380809514243
4.194935250679257,0.6145547136519707,2.2699731977417033,3.1670562795888504,0.6041236743955456,11.710380809514243
4.085020138513342,0.6968724402286331,2.3431774158183347,3.4565152612175325,0.6041236743955456,11.710380809514243
4.007685867952314,0.7765110623428402,2.376790302057275,3.699164469907606,0.6041236743955456,11.710380809514243
4.036921806928659,0.7880499635772047,2.41768977573868,3.577182159899368,0.6041236743955456,11.710380809514243
4.144128561107298,0.7026203941062202,2.3627867924551498,3.420989544504287,0.6041236743955456,11.710380809514243
4.032856668438358,0.7951000282532543,2.3706660792983354,3.5635440738770092,0.6041236743955456,11.710380809514243
3.9328835530834043,0.8611538036740063,2.411857460944852,3.8324654193465557,0.6041236743955456,11.710380809514243
3.9388400412487052,0.8678230063429972,2.4215506618017457,3.863325774362835,0.6041236743955456,11.710380809514243
4.035948588294817,0.7914054480670601,2.348179084018726,3.5730038286546377,0.6041236743955456,12.546817714996887
4.224132293748206,0.715177135690968,1.8472621353186056,3.03540400533803,0.6041236743955456,12.546817714996887
4.225716462622562,0.7161941846557227,1.6850421801022448,2.9551638956791386,0.6041236743955456,12.546817714996887
4.228215443922229,0.7253707021823013,1.6378369659954999,2.9836644732480897,0.6041236743955456,12.546817714996887
4.11757791894303,0.8104203700091456,1.6277430910127495,3.1921721227633957,0.6041236743955456,12.546817714996887
4.058396103700665,0.9131251847409435,1.669373021428232,3.3788900724327307,0.6041236743955456,12.546817714996887
3.5473108382090506,1.637962782254708,1.1100364584427609,4.908202456990888,1.161740718682527,13.38328086355135
3.4761006201523004,1.6988985642213434,1.2096070132478756,5.032195189101441,1.161740718682527,13.38328086355135
3.5345788355635426,1.6310543402954465,1.2350625356349783,4.806324744888913,1.161740718682527,13.38328086355135
3.4440076656248997,1.7028912393793703,1.1756643489656677,4.975636201786951,1.161740718682527,13.38328086355135
3.3894796336516944,1.7841247720405695,1.349963130934015,5.1296853347925255,1.161740718682527,13.38328086355135
3.5051008112532163,1.675182918195157,1.037049833881006,4.865312239003868,1.161740718682527,13.38328086355135
3.401464447797016,1.729063238985853,1.2391508243035274,5.239378228855845,1.161740718682527,13.38328086355135
3.1980822060912857,1.9032014887748443,1.550704312366344,5.9061009838865886,1.161740718682527,13.38328086355135
